Instructor,Course,Semester,Course_Grade,Pre,Pre %,Post,Post %,% Change,%_Possible_Change,Normalized_Gain
A,Bio 1530,2015_Fall,72.94,12,24,12,24,0,76,0.00
A,Bio 1530,2015_Fall,72.62,13,26,15,30,4,74,0.05
A,Bio 1530,2015_Fall,71.00,8,16,10,20,4,84,0.05
A,Bio 1530,2015_Fall,70.24,11,22,20,40,18,78,0.23
A,Bio 1530,2015_Fall,69.91,16,32,30,60,28,68,0.41
A,Bio 1530,2015_Fall,68.51,16,32,11,22,-10,68,0.00
A,Bio 1530,2015_Fall,68.07,2,4,13,26,22,96,0.23
A,Bio 1530,2015_Fall,67.75,16,32,17,34,2,68,0.03
A,Bio 1530,2015_Fall,66.88,15,30,16,32,2,70,0.03
A,Bio 1530,2015_Fall,65.26,13,26,16,32,6,74,0.08
A,Bio 1530,2015_Fall,64.94,1,2,14,28,26,98,0.27
A,Bio 1530,2015_Fall,64.39,15,30,17,34,4,70,0.06
A,Bio 1530,2015_Fall,64.07,13,26,14,28,2,74,0.03
A,Bio 1530,2015_Fall,63.20,11,22,12,24,2,78,0.03
A,Bio 1530,2015_Fall,62.88,16,32,23,46,14,68,0.21
A,Bio 1530,2015_Fall,62.12,10,20,17,34,14,80,0.18
A,Bio 1530,2015_Fall,62.01,11,22,15,30,8,78,0.10
A,Bio 1530,2015_Fall,60.61,6,12,35,70,58,88,0.66
A,Bio 1530,2015_Fall,60.28,13,26,17,34,8,74,0.11
A,Bio 1530,2015_Fall,59.09,11,22,16,32,10,78,0.13
A,Bio 1530,2015_Fall,58.87,13,26,10,20,-6,74,0.00
A,Bio 1530,2015_Fall,55.30,13,26,12,24,-2,74,0.00
A,Bio 1530,2015_Fall,54.55,12,24,14,28,4,76,0.05
A,Bio 1530,2015_Fall,54.22,12,24,15,30,6,76,0.08
A,Bio 1530,2015_Fall,54.00,11,22,12,24,2,78,0.03
A,Bio 1530,2015_Fall,30.63,12,24,10,20,-4,76,0.00
B,Bio 1530,2013_Fall,92.00,12,24,23,46,22,76,0.29
B,Bio 1530,2013_Fall,92.00,12,24,16,32,8,76,0.11
B,Bio 1530,2013_Fall,92.00,9,18,12,24,6,82,0.07
B,Bio 1530,2013_Fall,92.00,11,22,13,26,4,78,0.05
B,Bio 1530,2013_Fall,88.00,9,18,17,34,16,82,0.20
B,Bio 1530,2013_Fall,88.00,12,24,11,22,-2,76,0.00
B,Bio 1530,2013_Fall,85.00,12,24,24,48,24,76,0.32
B,Bio 1530,2013_Fall,85.00,12,24,19,38,14,76,0.18
B,Bio 1530,2013_Fall,85.00,7,14,12,24,10,86,0.12
B,Bio 1530,2013_Fall,85.00,29,58,31,62,4,42,0.10
B,Bio 1530,2013_Fall,82.00,16,32,23,46,14,68,0.21
B,Bio 1530,2013_Fall,82.00,20,40,26,52,12,60,0.20
B,Bio 1530,2013_Fall,78.00,12,24,21,42,18,76,0.24
B,Bio 1530,2013_Fall,75.00,13,26,32,64,38,74,0.51
B,Bio 1530,2013_Fall,75.00,11,22,23,46,24,78,0.31
B,Bio 1530,2013_Fall,75.00,11,22,17,34,12,78,0.15
B,Bio 1530,2013_Fall,75.00,17,34,20,40,6,66,0.09
B,Bio 1530,2013_Fall,72.00,5,10,20,40,30,90,0.33
B,Bio 1530,2013_Fall,72.00,16,32,19,38,6,68,0.09
B,Bio 1530,2013_Fall,72.00,10,20,13,26,6,80,0.08
B,Bio 1530,2013_Fall,65.00,7,14,23,46,32,86,0.37
B,Bio 1530,2013_Fall,65.00,10,20,18,36,16,80,0.20
B,Bio 1530,2013_Fall,62.00,8,16,18,36,20,84,0.24
B,Bio 1530,2013_Fall,62.00,9,18,18,36,18,82,0.22
B,Bio 1530,2013_Fall,55.00,9,18,17,34,16,82,0.20
B,Bio 1530,2013_Fall,55.00,10,20,15,30,10,80,0.13
